"Step","SHF-Accum-v2-128 - score_train_avg","SHF-Accum-v2-128 - score_train_avg__MIN","SHF-Accum-v2-128 - score_train_avg__MAX","SHF-Accum-v2-64 - score_train_avg","SHF-Accum-v2-64 - score_train_avg__MIN","SHF-Accum-v2-64 - score_train_avg__MAX","SHF-Accum-v2-32 - score_train_avg","SHF-Accum-v2-32 - score_train_avg__MIN","SHF-Accum-v2-32 - score_train_avg__MAX","SHF-Accum-v2-16 - score_train_avg","SHF-Accum-v2-16 - score_train_avg__MIN","SHF-Accum-v2-16 - score_train_avg__MAX","SHF-Accum-v2-8 - score_train_avg","SHF-Accum-v2-8 - score_train_avg__MIN","SHF-Accum-v2-8 - score_train_avg__MAX","SHF-Accum-v2-4 - score_train_avg","SHF-Accum-v2-4 - score_train_avg__MIN","SHF-Accum-v2-4 - score_train_avg__MAX","SHF-Accum-v2-3 - score_train_avg","SHF-Accum-v2-3 - score_train_avg__MIN","SHF-Accum-v2-3 - score_train_avg__MAX","SHF-Accum-v2-2 - score_train_avg","SHF-Accum-v2-2 - score_train_avg__MIN","SHF-Accum-v2-2 - score_train_avg__MAX","SHF-Accum-v2-1 - score_train_avg","SHF-Accum-v2-1 - score_train_avg__MIN","SHF-Accum-v2-1 - score_train_avg__MAX","SHF-Accum-v2-0 - score_train_avg","SHF-Accum-v2-0 - score_train_avg__MIN","SHF-Accum-v2-0 - score_train_avg__MAX"
"77","","","","","","","","","","","","","","","","","","","","","","","","","-1.73583984375","-1.73583984375","-1.73583984375","","",""
"78","","","","","","","","","","","","","","","","","","","-1.826904296875","-1.826904296875","-1.826904296875","-1.603515625","-1.603515625","-1.603515625","-1.36376953125","-1.36376953125","-1.36376953125","","",""
"79","","","","","","","","","","","","","","","","","","","","","","","","","-0.45526885986328125","-0.45526885986328125","-0.45526885986328125","","",""
"80","","","","","","","","","","-1.9176732301712036","-1.9176732301712036","-1.9176732301712036","-1.7737491130828857","-1.7737491130828857","-1.7737491130828857","-1.5618564933538437","-1.5618564933538437","-1.5618564933538437","","","","-1.5088615417480469","-1.5088615417480469","-1.5088615417480469","-2.23388671875","-2.23388671875","-2.23388671875","","",""
"81","","","","","","","","","","","","","","","","","","","-2.4980367024739585","-2.4980367024739585","-2.4980367024739585","","","","-2.451904296875","-2.451904296875","-2.451904296875","","",""
"82","","","","","","","","","","","","","","","","","","","","","","-3.57763671875","-3.57763671875","-3.57763671875","-3.25244140625","-3.25244140625","-3.25244140625","","",""
"83","","","","","","","","","","","","","","","","","","","","","","","","","0.3166961669921875","0.3166961669921875","0.3166961669921875","","",""
"84","","","","","","","","","","","","","","","","-2.0401077270507812","-2.0401077270507812","-2.0401077270507812","-1.4901021321614583","-1.4901021321614583","-1.4901021321614583","-0.22412109375","-0.22412109375","-0.22412109375","-1.4803466796875","-1.4803466796875","-1.4803466796875","","",""
"85","","","","","","","","","","","","","","","","","","","","","","","","","-2.620849609375","-2.620849609375","-2.620849609375","","",""
"86","","","","","","","","","","","","","","","","","","","","","","-1.424774169921875","-1.424774169921875","-1.424774169921875","-1.455535888671875","-1.455535888671875","-1.455535888671875","","",""
"87","","","","","","","","","","","","","","","","","","","-1.1682942708333333","-1.1682942708333333","-1.1682942708333333","","","","-0.76458740234375","-0.76458740234375","-0.76458740234375","","",""
"88","","","","","","","","","","","","","-1.8220114707946777","-1.8220114707946777","-1.8220114707946777","-1.6108970642089844","-1.6108970642089844","-1.6108970642089844","","","","-1.588714599609375","-1.588714599609375","-1.588714599609375","-1.8857421875","-1.8857421875","-1.8857421875","","",""
"89","","","","","","","","","","","","","","","","","","","","","","","","","-3.01611328125","-3.01611328125","-3.01611328125","","",""
"90","","","","","","","","","","","","","","","","","","","-3.501220703125","-3.501220703125","-3.501220703125","-3.7825927734375","-3.7825927734375","-3.7825927734375","-3.02685546875","-3.02685546875","-3.02685546875","","",""
"91","","","","","","","","","","","","","","","","","","","","","","","","","-1.1458196640014648","-1.1458196640014648","-1.1458196640014648","","",""
"92","","","","","","","","","","","","","","","","-3.1106510162353516","-3.1106510162353516","-3.1106510162353516","","","","-2.1840068101882935","-2.1840068101882935","-2.1840068101882935","-2.545166015625","-2.545166015625","-2.545166015625","","",""
"93","","","","","","","","","","","","","","","","","","","-2.6608150800069175","-2.6608150800069175","-2.6608150800069175","","","","-2.56103515625","-2.56103515625","-2.56103515625","","",""
"94","","","","","","","","","","","","","","","","","","","","","","-3.2462158203125","-3.2462158203125","-3.2462158203125","-3.157470703125","-3.157470703125","-3.157470703125","","",""
"95","","","","","","","","","","","","","","","","","","","","","","","","","-0.58056640625","-0.58056640625","-0.58056640625","","",""
"96","","","","","","","-2.09954571723938","-2.09954571723938","-2.09954571723938","-2.312029629945755","-2.312029629945755","-2.312029629945755","-2.5896052718162537","-2.5896052718162537","-2.5896052718162537","-2.0859375","-2.0859375","-2.0859375","-2.0635884602864585","-2.0635884602864585","-2.0635884602864585","-1.0439300537109375","-1.0439300537109375","-1.0439300537109375","-1.5362548828125","-1.5362548828125","-1.5362548828125","","",""
